id,name,city,description,tags,season,nature,vibe,target,pet_friendly
1,설악산국립공원,속초,"사계절 내내 인기 있는 산악 국립공원으로, 가을 단풍과 겨울 설경이 특히 아름답습니다.","사계절, 힐링, 자연, 조용한, 산",사계절,"자연, 산","힐링, 조용한",,
2,경포해변,강릉,"여름철 해수욕과 겨울 바다 산책 명소로, 감성적인 분위기의 해변입니다.","바다, 여름, 산책, 감성, 연인, 산",여름,"바다, 산","산책, 감성",연인,
3,남이섬,춘천,사계절 관광지로 메타세쿼이아 길과 자연 풍경이 인상적인 섬입니다.,"섬, 산책, 연인, 자연, 사계절, 가족",사계절,"섬, 자연",산책,"연인, 가족",
4,오죽헌,강릉,율곡 이이와 신사임당의 생가로 전통문화와 역사 교육에 적합한 장소입니다.,"역사문화, 박물관, 사계절, 가족, 조용한",사계절,,조용한,가족,
5,강릉커피거리,강릉,바다 전망을 배경으로 감성 카페들이 즐비한 커피 문화의 중심지입니다.,"바다, 산책, 감성, 연인, 카페거리, 가을",가을,바다,"산책, 감성",연인,
6,춘천 소양강 스카이워크,춘천,"호수 위를 걷는 유리 바닥 산책로로, 가족이나 연인과의 방문에 적합합니다.","봄, 산책, 연인, 가족, 호수, 산",봄,"호수, 산",산책,"연인, 가족",
7,정동진,강릉,"해돋이 명소로 유명하며, 바다와 철길이 어우러진 감성적인 해변입니다.","바다, 사진명소, 겨울, 연인, 감성",겨울,바다,"사진명소, 감성",연인,
8,하슬라아트월드,강릉,자연과 예술이 조화된 복합 문화 공간으로 감성적 산책과 예술 체험이 가능합니다.,"체험, 봄, 산책, 감성, 자연, 산",봄,"자연, 산","산책, 감성",,
9,양떼목장,평창,드넓은 목초지에서 양을 직접 보고 체험할 수 있는 자연 체험 공간입니다.,"체험, 힐링, 자연, 여름, 가족",여름,자연,힐링,가족,
10,대관령 삼양목장,평창,넓은 초원과 풍력발전기가 어우러진 시원한 자연 관광지입니다.,"사진명소, 힐링, 자연, 여름, 산",여름,"자연, 산","사진명소, 힐링",,
11,삼척해수욕장,삼척,고운 백사장과 맑은 물로 유명한 여름철 인기 해변입니다.,"바다, 연인, 감성, 여름, 가족",여름,바다,감성,"연인, 가족",
12,고성 화진포,고성,"이승만 대통령 별장으로도 유명하며, 호수와 바다가 함께 있는 조용한 휴식처입니다.","바다, 역사문화, 조용한, 힐링, 가을, 호수",가을,"바다, 호수","조용한, 힐링",,
13,속초 영금정,속초,해안가의 정자로 일출 명소이자 사진 촬영지로 유명합니다.,"바다, 사진명소, 겨울, 연인, 감성",겨울,바다,"사진명소, 감성",연인,
14,정선 레일바이크,정선,기찻길을 따라 산속 풍경을 감상하며 체험할 수 있는 독특한 관광지입니다.,"봄, 사진명소, 체험, 가족, 산",봄,산,사진명소,가족,
15,천곡동굴,동해,자연이 만든 석회암 동굴로 다양한 지질학적 관찰이 가능한 탐방지입니다.,"체험, 자연, 여름, 가족, 조용한",여름,자연,조용한,가족,
16,춘천 애니메이션 박물관,춘천,아이들과 함께 하기 좋은 박물관으로 캐릭터 전시와 체험이 다양합니다.,"산책, 체험, 박물관, 사계절, 가족",사계절,,산책,가족,
17,인제 자작나무숲,인제,하얗게 빛나는 자작나무들이 인상적인 힐링 산책로입니다.,"조용한, 숲, 산책, 힐링, 가을, 산",가을,"숲, 산","조용한, 산책, 힐링",,
18,속초 아바이마을,속초,"이북 실향민들이 정착한 마을로, 갯배와 명태 요리가 유명합니다.","감성, 체험, 사계절, 가족, 역사문화",사계절,,감성,가족,
19,횡성호수길,횡성,호수를 따라 조성된 산책로로 조용히 걷기 좋고 힐링에 적합합니다.,"조용한, 봄, 산책, 힐링, 호수, 산",봄,"호수, 산","조용한, 산책, 힐링",,
20,원주 소금산 출렁다리,원주,아찔한 높이의 출렁다리에서 산과 계곡 풍경을 감상할 수 있는 명소입니다.,"사진명소, 연인, 가을, 계곡, 산",가을,"계곡, 산",사진명소,연인,
21,오대산국립공원,평창,"울창한 숲과 고요한 사찰이 어우러진 국립공원으로, 사계절 내내 자연을 즐길 수 있습니다.","사계절, 자연, 산, 힐링, 조용한",사계절,"자연, 산","힐링, 조용한",,
22,태백산국립공원,태백,겨울 설경과 봄철 진달래가 아름다운 산악 국립공원입니다.,"겨울, 봄, 자연, 산, 힐링","겨울, 봄","자연, 산",힐링,,
23,대관령 양떼목장,평창,푸른 초원에서 양떼를 만나며 자연을 체험할 수 있는 목장입니다.,"여름, 자연, 목장, 가족, 힐링",여름,자연,힐링,가족,
24,알파카월드,홍천,알파카와 다양한 동물을 가까이에서 체험할 수 있는 동물 체험 농장입니다.,"가족, 동물, 힐링, 자연",사계절,자연,힐링,가족,
25,검룡소,태백,한강의 발원지로 알려진 신비로운 자연 샘입니다.,"자연, 산, 조용한, 힐링",사계절,"자연, 산","조용한, 힐링",,
26,백담사,인제,"깊은 산속에 위치한 고요한 사찰로, 마음의 평화를 찾을 수 있는 장소입니다.","조용한, 힐링, 산, 사찰",사계절,산,"조용한, 힐링",,
27,월정사,평창,"오대산 자락에 위치한 아름다운 사찰로, 자연과 함께하는 명상 공간입니다.","조용한, 힐링, 산, 사찰",사계절,산,"조용한, 힐링",,
28,청평사,춘천,"소양강댐 근처에 위치한 사찰로, 배를 타고 접근할 수 있어 특별한 경험을 제공합니다.","조용한, 힐링, 산, 사찰",사계절,산,"조용한, 힐링",,
29,주문진 해변,강릉,"BTS 앨범 촬영지로 유명한 해변으로, 맑은 바다와 고운 모래사장이 인상적입니다.","바다, 여름, 감성, 연인",여름,바다,감성,연인,
30,속초 해변,속초,"도심과 가까운 해변으로, 여름철 해수욕과 산책을 즐기기에 좋습니다.","바다, 여름, 산책, 가족",여름,바다,산책,가족,
31,강릉 안목 커피거리,강릉,"바다를 바라보며 다양한 커피를 즐길 수 있는 거리로, 감성적인 분위기가 매력적입니다.","바다, 감성, 커피, 산책",사계절,바다,"감성, 산책",,
32,낙산사,양양,"바다를 배경으로 한 아름다운 사찰로, 일출 명소로도 유명합니다.","바다, 사찰, 감성, 힐링",사계절,바다,"감성, 힐링",,
33,평창 스키 리조트,평창,"2018 평창 동계올림픽 개최지로, 다양한 스키장과 겨울 스포츠를 즐길 수 있습니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
34,태백산 눈축제,태백,겨울철 눈 조각 전시와 다양한 체험 프로그램이 열리는 축제입니다.,"겨울, 축제, 가족, 감성",겨울,산,감성,가족,
35,나리천 래프팅,인제,"급류를 타며 스릴을 즐길 수 있는 래프팅 명소로, 여름철 인기 액티비티입니다.","여름, 액티비티, 스릴, 친구",여름,강,스릴,친구,
36,삼척 해신당 공원,삼척,"독특한 테마의 공원으로, 바다를 배경으로 한 조각 작품들이 전시되어 있습니다.","바다, 감성, 산책, 연인",사계절,바다,"감성, 산책",연인,
37,뮤지엄 산,원주,"자연과 예술이 어우러진 미술관으로, 건축가 안도 타다오의 작품입니다.","감성, 예술, 산책, 힐링",사계절,산,"감성, 힐링",,
38,강릉 단오제,강릉,"유네스코 인류무형문화유산으로 지정된 전통 축제로, 다양한 문화 행사가 열립니다.","전통, 축제, 가족, 감성",여름,,감성,가족,
39,정선 아리랑제,정선,"전통 음악과 춤을 즐길 수 있는 축제로, 지역의 문화와 역사를 체험할 수 있습니다.","전통, 축제, 감성, 힐링",가을,,"감성, 힐링",,
40,강릉 커피 축제,강릉,"커피를 테마로 한 다양한 행사와 체험이 열리는 축제로, 커피 애호가들에게 인기입니다.","커피, 축제, 감성, 산책",가을,,"감성, 산책",,
41,정선 5일장,정선,"전통 시장의 분위기를 느낄 수 있는 5일장으로, 지역 특산물을 구매할 수 있습니다.","전통, 시장, 감성, 가족",사계절,,감성,가족,
42,남이섬,춘천,"사계절 감성 여행지로, 자연과 예술이 어우러진 섬입니다.","사계절, 감성, 자연, 연인, 가족",사계절,자연,감성,"연인, 가족",
43,인제 자작나무 숲,인제,"하얀 자작나무들이 펼쳐진 숲길로, 사진 촬영 명소입니다.","사계절, 자연, 산책, 감성",사계절,산,"감성, 산책",,
44,대관령 삼양목장,평창,"광활한 초원과 풍력발전기가 어우러진 목장으로, 자연을 만끽할 수 있습니다.","여름, 자연, 목장, 가족, 힐링",여름,자연,힐링,가족,
45,원주 소금산 출렁다리,원주,스릴 넘치는 출렁다리와 아름다운 산세를 감상할 수 있는 명소입니다.,"사계절, 산, 액티비티, 감성",사계절,산,"감성, 액티비티",,
46,정선 레일바이크,정선,"폐선을 활용한 레일바이크 체험으로, 자연 속에서 색다른 즐거움을 느낄 수 있습니다.","사계절, 액티비티, 가족, 감성",사계절,산,"감성, 액티비티",가족,
47,양양 서피비치,양양,"국내 서핑의 메카로, 여름철 서핑과 해변 문화를 즐길 수 있는 곳입니다.","여름, 바다, 액티비티, 감성, 연인",여름,바다,"감성, 액티비티",연인,
48,삼척 해상케이블카,삼척,"바다 위를 가로지르는 케이블카로, 이색적인 풍경을 감상할 수 있습니다.","사계절, 바다, 액티비티, 감성",사계절,바다,"감성, 액티비티",,
49,추암 촛대바위,동해,"일출 명소로 유명한 해안 절경지로, 독특한 바위 형상이 인상적입니다.","사계절, 바다, 감성, 산책",사계절,바다,"감성, 산책",,
50,영금정,속초,"바다 위에 세워진 정자로, 일출과 일몰을 감상하기 좋은 장소입니다.","사계절, 바다, 감성, 산책",사계절,바다,"감성, 산책",,
51,속초아이,속초,대관람차를 타고 속초의 바다와 도심을 한눈에 볼 수 있는 명소입니다.,"사계절, 바다, 감성, 가족",사계절,바다,감성,가족,
52,비발디파크,홍천,"사계절 종합 리조트로, 겨울에는 스키와 보드를, 여름에는 워터파크를 즐길 수 있습니다.","사계절, 스키, 액티비티, 가족",사계절,산,액티비티,가족,
53,하이원 리조트,정선,"고급 리조트로, 겨울철 스키와 다양한 레저 시설을 제공합니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
54,휘닉스 평창,평창,"2018 평창 동계올림픽 개최지로, 다양한 겨울 스포츠를 즐길 수 있습니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
55,엘리시안 강촌,춘천,"가족 단위 여행객에게 적합한 스키 리조트로, 다양한 코스를 제공합니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
56,알펜시아 리조트,평창,"스키장과 워터파크를 갖춘 복합 리조트로, 사계절 내내 즐길 거리가 풍부합니다.","사계절, 스키, 액티비티, 가족",사계절,산,액티비티,가족,
57,아르떼뮤지엄 강릉,강릉,미디어 아트 전시를 통해 예술과 기술이 결합된 감성 공간입니다.,"사계절, 예술, 감성, 실내",사계절,,감성,,
58,선교장,강릉,조선시대 상류층의 생활을 엿볼 수 있는 전통 한옥입니다.,"사계절, 전통, 감성, 가족",사계절,,감성,가족,
59,강릉 단오제,강릉,"유네스코 인류무형문화유산으로 지정된 전통 축제로, 다양한 문화 행사가 열립니다.","여름, 전통, 축제, 가족",여름,,감성,가족,
60,정선 아리랑제,정선,"전통 음악과 춤을 즐길 수 있는 축제로, 지역의 문화와 역사를 체험할 수 있습니다.","가을, 전통, 축제, 감성",가을,,감성,,